review_text,category,urgency,sentiment,confidence,key_information,suggested_action
"I ordered a smartphone, but received a smartwatch instead. This is unacceptable. Please fix this or I will return the item.",order_issue,high,neutral,0.5,[''],
"I'm having trouble accessing my account. I've tried resetting my password multiple times, but I'm not receiving any emails.",other,medium,frustrated,0.5,[''],"Verify the customer's email address and check the spam or junk folder for the password reset emails. If not found, escalate the issue to the technical team for further investigation."
"The laptop I received has a defective screen. It keeps flickering, and I can't use it for work. I need a replacement.",other,high,neutral,0.5,[''],Initiate a replacement process for the defective laptop.
"I ordered a new camera, but the lens was missing from the package. I need the lens urgently for an event this weekend.",other,high,neutral,0.5,[''],
I can't find the option to update my payment details on your website. Can someone guide me through the process?,billing,medium,neutral,0.5,['Payment details update'],Provide step-by-step instructions on how to update payment details on the website.
The headphones I bought last month stopped working. They won't charge and are completely unresponsive. Can I get a refund?,other,medium,neutral,0.5,[''],
"My order was supposed to arrive last week, but it's still showing as 'in transit'. Can you check on this for me?",other,medium,neutral,0.5,"[""Order delivery delay, current status 'in transit'""]",Check the tracking details for the order and investigate the delay.
"I received the wrong color of the shoes I ordered. I wanted black, but received blue. How can I exchange them?",other,medium,neutral,0.9,[''],
The software license key I received is not working. It says the key has already been used. Please help me with this issue.,other,medium,neutral,0.5,[''],Verify the software license key provided and issue a new one if necessary.
I've been overcharged for my recent purchase. The invoice shows a higher amount than what I was told. Can you correct this?,billing,medium,neutral,0.5,[''],
The washing machine I bought is making a strange noise. It wasn't like this when I first got it. What should I do?,other,medium,neutral,0.5,[''],
I accidentally ordered two of the same item. Can you cancel one of them before it ships?,other,medium,neutral,0.5,[''],
The blender I received is missing some parts. I can't use it without the blades. Can you send the missing parts?,other,medium,neutral,0.5,['Missing parts (blades) for the blender'],Verify the missing parts with the customer's order details and initiate the shipment of the missing blades.
My package was delivered to the wrong address. I need help recovering it.,other,high,neutral,0.5,['Package delivered to wrong address'],
"I ordered a gift for my friend, but it arrived damaged. How can I get a replacement quickly?",other,high,neutral,0.5,[''],
